"release_year","total_sales","num_games"
1971,"0","1"
1973,"0","1"
1975,"0","1"
1977,"2.5","11"
1978,"2.36","45"
1979,"0.31","8"
1980,"2.26","35"
1981,"7.73","50"
1982,"28.99","214"
1983,"22.68","298"
1984,"4.85","102"
1985,"2.19","101"
1986,"10.35","159"
1987,"5.59","270"
1988,"8.73","294"
1989,"9.12","426"
1990,"9.07","657"
1991,"6.05","779"
1992,"9.38","933"
1993,"20.16","1034"
1994,"36.85","1163"
1995,"52.98","1153"
1996,"101.36","1228"
1997,"105.89","1040"
1998,"132.23","1096"
1999,"169.61","1272"
2000,"171.12","1552"
2001,"226.75","1478"
2002,"314.499999999999","1726"
2003,"300.889999999999","1723"
2004,"284.679999999999","1606"
2005,"313.479999999998","1810"
2006,"244.420000000001","2096"
2007,"436.389999999997","2525"
2008,"538.109999999994","2936"
2009,"495.359999999996","4360"
2010,"454.019999999997","3586"
2011,"440.319999999997","3386"
2012,"285.469999999998","1584"
2013,"265.999999999998","1740"
2014,"292.109999999999","2896"
2015,"230.45","1680"
2016,"208.020000000001","1352"
2017,"191.96","1558"
2018,"148.03","1538"
