ds,yhat,yhat_lower,yhat_upper,release_year,total_sales
1971-01-01,-86.65078180575082,-220.0354462513016,32.599420685837586,1971,0.0
1973-01-01,-73.60452135844984,-193.81918557987626,56.01091033252212,1973,0.0
1975-01-01,-48.86065317273479,-175.51294513284103,75.78432178360852,1975,0.0
1977-01-01,-35.81439272586131,-161.89430758338855,95.7124603083074,1977,2.5
1978-01-01,-23.136553333635185,-148.16346837641942,102.63371799065654,1978,2.36
1979-01-01,-11.070524540212858,-134.82898996557765,108.46669586139446,1979,0.31
1980-01-01,0.3801404092662608,-125.10793686359395,135.17714215268356,1980,2.26
1981-01-01,1.9757359091106323,-116.50553364624717,123.5349011587701,1981,7.73
1982-01-01,14.653575303058375,-114.6243888833522,142.02203913944652,1982,28.99
1983-01-01,26.719604097850336,-102.10408761082678,150.89664497667962,1983,22.68
1984-01-01,38.170269048700774,-101.97638930166352,158.1153477245972,1984,4.85
1985-01-01,39.76586454793807,-90.25256350112396,174.51645292711987,1985,2.19
1986-01-01,52.44370394316972,-75.0146837377033,182.0758638674335,1986,10.35
1987-01-01,64.50973273828649,-72.83867766242027,184.4080238690253,1987,5.59
1988-01-01,75.9603976917223,-46.262236776492514,194.82366686525208,1988,8.73
1989-01-01,77.5559931943566,-40.11724108897659,206.0815662730669,1989,9.12
1990-01-01,90.23383259232955,-36.8663013167547,212.83436745207797,1990,9.07
1991-01-01,102.29986139019422,-21.86859164034664,230.36840757490822,1991,6.05
1992-01-01,113.7505263446638,-15.747819610774298,234.13621486445206,1992,9.38
1993-01-01,115.34612184741874,-5.840294835646486,236.09622021711286,1993,20.16
1994-01-01,128.02396124506492,1.3190676205526486,248.5146466675979,1994,36.85
1995-01-01,140.0899900423777,16.097345034460076,269.7209447586859,1995,52.98
1996-01-01,151.5406549960228,27.991859020181614,280.0895610883274,1996,101.36
1997-01-01,153.13625049876853,24.435526200820583,282.31120709151435,1997,105.89
1998-01-01,165.81408989638368,36.57349900230176,288.2823977623586,1998,132.23
1999-01-01,177.88011869496347,62.365095919877454,306.5645725677188,1999,169.61
2000-01-01,189.33078364988424,67.9313947783461,320.2725675285102,2000,171.12
2001-01-01,190.92637915396543,53.04635155378729,317.83210223991347,2001,226.75
2002-01-01,203.6042185518178,78.51176787905968,334.15614226258873,2002,314.499999999999
2003-01-01,215.6702473505024,88.3226259441743,338.65657880798204,2003,300.889999999999
2004-01-01,227.12091230490432,101.33572126173036,348.16520946470155,2004,284.679999999999
2005-01-01,228.71650780851317,107.8533549380372,357.6119936509054,2005,313.479999999998
2006-01-01,241.39434720702226,112.98773093572382,367.0614934584623,2006,244.420000000001
2007-01-01,253.46037600620346,126.36271151843012,371.2607607188116,2007,436.389999999997
2008-01-01,264.91104096143664,134.59957786905986,391.1769013702305,2008,538.109999999994
2009-01-01,266.5066364659916,142.4073340326038,376.9148597311869,2009,495.359999999996
2010-01-01,279.1844121731196,149.61422029491644,404.60395274469454,2010,454.019999999997
2011-01-01,291.25037728014433,154.22059656825834,424.3855597876659,2011,440.319999999997
2012-01-01,302.7009785432192,185.12962568460878,425.00700539949605,2012,285.469999999998
2013-01-01,304.29651018098497,184.8831249892906,442.4845759368238,2013,265.999999999998
2014-01-01,316.9742858881078,200.75782582192045,445.43899890294534,2014,292.109999999999
2015-01-01,329.040250995102,202.75079358296213,451.4958365862892,2015,230.45
2016-01-01,340.4908522581877,215.88368179142861,469.2161971680434,2016,208.020000000001
2017-01-01,342.0863838959271,210.53621389079262,469.6043593647703,2017,191.96
2018-01-01,354.76415960305343,230.74106358550253,482.0844637502522,2018,148.03
2018-12-31,371.1315610862642,245.00106423018266,491.7760756231425,2018,148.03
2019-12-31,380.10735119618914,256.4019932552587,499.6014826873962,2019,
2020-12-31,389.11351689653867,276.47098231132065,509.2215359449008,2020,
2021-12-31,399.3271612666477,266.8989624127226,522.124967168819,2021,
2022-12-31,408.9214348012285,287.2809748551298,548.9121660089517,2022,
2023-12-31,417.89722491114424,278.56491173259246,550.971886872132,2023,
2024-12-31,426.9033906114968,296.5293836265207,549.7947616780045,2024,
2025-12-31,437.11703498161415,318.7998204682515,563.4458145770426,2025,
2026-12-31,446.7113085162032,324.12280809592806,576.3788792398897,2026,
2027-12-31,455.6870986261297,325.37906687058097,579.5917492771089,2027,
