release_year,sales,sales_lower,sales_upper,type
1971,0.0,,,actual
1971,-0.22319200829484545,-0.6254506760769503,0.7003497607186155,forecast
1973,0.1016081306282607,-0.4899400891265134,1.2907329539523302,forecast
1973,0.0,,,actual
1975,0.0,,,actual
1975,0.561467818978145,-0.2834471851109043,2.1981346564858177,forecast
1977,1.2143511182536764,0.03933597507854254,3.7947817287709302,forecast
1977,2.5,,,actual
1978,2.36,,,actual
1978,1.6363279776485413,0.24926785961938766,4.507569242378637,forecast
1979,2.1387186740096635,0.5266679467895616,5.844287244656674,forecast
1979,0.31,,,actual
1980,2.26,,,actual
1980,2.736847235283686,0.8165235482710813,6.920563736217671,forecast
1981,3.451084499528335,1.0415937976254184,8.491039205124299,forecast
1981,7.73,,,actual
1982,28.99,,,actual
1982,4.299303484410092,1.427451037180175,10.147085821091537,forecast
1983,5.309162951828196,1.9159679016970634,12.446394603628674,forecast
1983,22.68,,,actual
1984,4.85,,,actual
1984,6.511465850148908,2.742263762782402,15.311598039745725,forecast
1985,7.9471597610704166,3.3633097192773107,18.026843611004324,forecast
1985,2.19,,,actual
1986,10.35,,,actual
1986,9.652171376844763,4.116024997243417,20.685824813387555,forecast
1987,11.682097791008447,4.856314882652673,25.363042851174736,forecast
1987,5.59,,,actual
1988,8.73,,,actual
1988,14.098856251066247,6.080824263474441,29.439579831679286,forecast
1989,16.984837218039562,7.135945334318132,37.22431367319538,forecast
1989,9.12,,,actual
1990,20.412206572535773,8.77103785822951,43.80946022439563,forecast
1990,9.07,,,actual
1991,6.05,,,actual
1991,24.492729500218474,11.826832114366828,55.55005815378458,forecast
1992,29.350877438520143,13.175279523150476,62.52285695856891,forecast
1992,9.38,,,actual
1993,20.16,,,actual
1993,35.1554374994541,16.56558710865868,71.93534392663493,forecast
1994,42.049522082082646,20.01690748186744,94.06116111310422,forecast
1994,36.85,,,actual
1995,52.98,,,actual
1995,50.258164184120396,22.99059499490875,104.77248902595703,forecast
1996,60.032022386456745,26.98787680005659,133.11080353922304,forecast
1996,101.36,,,actual
1997,105.89,,,actual
1997,71.70430567472002,33.55175772542245,152.48740050306753,forecast
1998,85.56749382581205,38.67005788463576,178.38465826769578,forecast
1998,132.23,,,actual
1999,169.61,,,actual
1999,102.07385015556305,45.81350720601232,205.00850499696324,forecast
2000,121.72757494018643,57.025653829673075,260.1648481306819,forecast
2000,171.12,,,actual
2001,226.75,,,actual
2001,145.1986830998244,67.94919744396478,304.7951564639317,forecast
2002,173.07528494579907,86.4725155092328,372.30741078646156,forecast
2002,314.499999999999,,,actual
2003,300.889999999999,,,actual
2003,206.2530591808268,101.08259305047677,459.98447166331204,forecast
2004,245.7543313410954,109.32877313135276,536.0722133829729,forecast
2004,284.679999999999,,,actual
2005,313.479999999998,,,actual
2005,292.92477323564833,144.13110861023227,638.8025152069968,forecast
2006,244.420000000001,,,actual
2006,348.9451886066783,167.315353077064,728.5181686567281,forecast
2007,342.0377456353999,157.07004823872964,741.2254041972302,forecast
2007,436.389999999997,,,actual
2008,538.109999999994,,,actual
2008,335.26664621149655,154.67953990699115,734.2347142745608,forecast
2009,328.611195467632,151.65772954803646,688.4473488180878,forecast
2009,495.359999999996,,,actual
2010,454.019999999997,,,actual
2010,322.0828717225462,157.42228759799931,682.5113451241799,forecast
2011,315.6838488370993,148.40236234463572,671.519717534838,forecast
2011,440.319999999997,,,actual
2012,285.469999999998,,,actual
2012,309.41156586104546,144.7724543867825,670.3571645917713,forecast
2013,303.2468369614071,141.53776877333098,650.3567435484458,forecast
2013,265.999999999998,,,actual
2014,292.109999999999,,,actual
2014,297.2208831181693,143.26484751725962,620.576467900435,forecast
2015,291.31428012861136,132.60222926386623,634.162737106374,forecast
2015,230.45,,,actual
2016,208.020000000001,,,actual
2016,285.52466411364577,130.36681166221038,584.6312839989433,forecast
2017,279.834325635371,135.43956789604383,614.0107192598423,forecast
2017,191.96,,,actual
2018,148.03,,,actual
2018,274.27208314576296,130.9334130254322,578.0898216054463,forecast
2018,268.8347958695502,129.99759823620903,567.782384069494,forecast
2019,263.4904115484219,117.10549750383258,545.6910125378976,forecast
2020,258.2376701461258,128.1829811774925,546.1431973171519,forecast
2021,253.10317392479874,119.242743117647,526.8997115257733,forecast
2022,248.07037222738825,113.83490263975338,528.4629499983196,forecast
2023,243.13725087845287,113.34609398161815,505.9912876181514,forecast
2024,238.2887203097099,112.14474797609071,531.7334195782145,forecast
2025,233.54933567651267,107.57051877248867,536.6879292723227,forecast
2026,228.90381993388542,102.45720430854868,510.05470618809295,forecast
2027,224.3503139019346,97.20222450384844,518.2617830964099,forecast
