release_year,sales,sales_lower,sales_upper,type
1971,0.0,,,actual
1971,-0.22319200829484545,-0.6435861181580456,0.7171520610985362,forecast
1973,0.1016081306282607,-0.47527516849062,1.2921885487866485,forecast
1973,0.0,,,actual
1975,0.0,,,actual
1975,0.561467818978145,-0.250062244691869,2.1409826086187613,forecast
1977,1.2143511182536764,0.019887585038853444,3.7265818813461253,forecast
1977,2.5,,,actual
1978,2.36,,,actual
1978,1.6363279776485413,0.21676367901817215,4.598635701015496,forecast
1979,2.1387186740096635,0.4736532001930598,5.79306344706494,forecast
1979,0.31,,,actual
1980,2.26,,,actual
1980,2.736847235283686,0.7641371131064589,6.450988824741553,forecast
1981,3.451084499528335,1.078731013980467,7.831046488117176,forecast
1981,7.73,,,actual
1982,28.99,,,actual
1982,4.299303484410092,1.49502099050701,10.35264410821708,forecast
1983,5.309162951828196,1.8861447644323168,12.474527661804798,forecast
1983,22.68,,,actual
1984,4.85,,,actual
1984,6.511465850148908,2.5188828937568575,14.724167628351776,forecast
1985,7.9471597610704166,3.144283484734247,18.41856954416204,forecast
1985,2.19,,,actual
1986,10.35,,,actual
1986,9.652171376844763,3.839295066664566,21.749160344618137,forecast
1987,11.682097791008447,4.820783675846451,25.02450320468179,forecast
1987,5.59,,,actual
1988,8.73,,,actual
1988,14.098856251066247,6.127980192327913,30.57372891323568,forecast
1989,16.984837218039562,7.733044285571605,36.819579325262445,forecast
1989,9.12,,,actual
1990,20.412206572535773,8.852350379189943,47.042882062606914,forecast
1990,9.07,,,actual
1991,6.05,,,actual
1991,24.492729500218474,10.987179496879264,53.28224409898976,forecast
1992,29.350877438520143,13.750369888584867,63.30026106627474,forecast
1992,9.38,,,actual
1993,20.16,,,actual
1993,35.1554374994541,15.55812359875452,75.66110628226505,forecast
1994,42.049522082082646,20.45622711385932,89.9047429355518,forecast
1994,36.85,,,actual
1995,52.98,,,actual
1995,50.258164184120396,22.964164564646673,112.02295356737785,forecast
1996,60.032022386456745,28.135291077183894,131.29228361913053,forecast
1996,101.36,,,actual
1997,105.89,,,actual
1997,71.70430567472002,33.365940362215625,149.36257165047033,forecast
1998,85.56749382581205,38.35241772133367,178.90258397437802,forecast
1998,132.23,,,actual
1999,169.61,,,actual
1999,102.07385015556305,47.57587352913746,219.70871550281302,forecast
2000,121.72757494018643,56.11017730408914,253.7842776215021,forecast
2000,171.12,,,actual
2001,226.75,,,actual
2001,145.1986830998244,69.09485849071648,299.05032758953166,forecast
2002,173.07528494579907,81.2992261541438,370.7239044993433,forecast
2002,314.499999999999,,,actual
2003,300.889999999999,,,actual
2003,206.2530591808268,102.53966918323353,417.6512321238389,forecast
2004,245.7543313410954,124.83047296113992,495.15517449811114,forecast
2004,284.679999999999,,,actual
2005,313.479999999998,,,actual
2005,292.92477323564833,144.59221164464785,629.8419566464165,forecast
2006,244.420000000001,,,actual
2006,348.9451886066783,160.19794030342075,737.4848335822339,forecast
2007,342.0377456353999,163.06748961355297,703.7810960653933,forecast
2007,436.389999999997,,,actual
2008,538.109999999994,,,actual
2008,335.26664621149655,156.50283399762992,743.5916779273164,forecast
2009,328.611195467632,145.94275524669786,695.679519313425,forecast
2009,495.359999999996,,,actual
2010,454.019999999997,,,actual
2010,322.0828717225462,154.68333181488973,675.3923729318514,forecast
2011,315.6838488370993,160.08647827578082,659.3601079489225,forecast
2011,440.319999999997,,,actual
2012,285.469999999998,,,actual
2012,309.41156586104546,142.32558797460865,682.7473186569572,forecast
2013,303.2468369614071,141.18555829873668,652.5258504164309,forecast
2013,265.999999999998,,,actual
2014,292.109999999999,,,actual
2014,297.2208831181693,145.8643967127537,625.3086904405002,forecast
2015,291.31428012861136,133.91620950012765,630.9303516682885,forecast
2015,230.45,,,actual
2016,208.020000000001,,,actual
2016,285.52466411364577,131.05716109102434,613.5017334747864,forecast
2017,279.834325635371,132.48123993141164,598.026951536808,forecast
2017,191.96,,,actual
2018,148.03,,,actual
2018,274.27208314576296,131.41106599642504,559.1984454902606,forecast
2018,268.8347958695502,122.14246076287944,556.7002647369923,forecast
2019,263.4904115484219,120.03080521279955,573.4099989625444,forecast
2020,258.2376701461258,117.52336107038057,552.0903391194653,forecast
2021,253.10317392479874,117.68233117994932,570.2291047007972,forecast
2022,248.07037222738825,115.72893516789814,529.4721819402034,forecast
2023,243.13725087845287,110.60647422368052,540.7233250285257,forecast
2024,238.2887203097099,108.79117112770759,511.0069084400857,forecast
